,Nom,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie,Mois,Année
120,The Borgias,6.5,Série de   Neil Jordan,['drame'],3.0,Showtime,50.0,"['3', 'avril', '2011']",avril,2011
121,Don't Hug Me I'm Scared,8.1,Websérie de   Joseph Pelling et   Becky Sloan,"['comédie', 'épouvante-horreur', 'animation']",Inconnu,YouTube,5.0,"['25', 'juillet', '2011']",juillet,2011
122,Mildred Pierce,7.4,Série de   Todd Haynes,"['drame', 'mini-série']",1.0,HBO,55.0,"['27', 'mars', '2011']",mars,2011
123,Wilfred (US),7.1,Série de   Jason Gann et   Adam Zwar,"['fantastique', 'comédie', 'dramatique']",4.0,FX,30.0,"['23', 'juin', '2011']",juin,2011
124,Apocalypse : Hitler,7.6,Série de   Isabelle Clarke et   Daniel Costelle,"['mini-série', 'historique', 'guerre']",1.0,France 2,55.0,"['25', 'octobre', '2011']",octobre,2011
125,Episodes,6.5,Série de   David Crane et   Jeffrey Klarik,['comédie'],5.0,Showtime,25.0,"['9', 'janvier', '2011']",janvier,2011
126,3615 Usul,7.5,Émission Web de   Dorian Chandelier et   Usul,['comédie'],2.0,jeuxvideo.com,8.0,"['23', 'octobre', '2011']",octobre,2011
127,Life's Too Short,7.1,"Série de   Warwick Davis,   Ricky Gervais et   Stephen Merchant",['comédie'],1.0,BBC Two,30.0,"['10', 'novembre', '2011']",novembre,2011
128,BOSS,7.6,Série de   Farhad Safinia,"['policier', 'drame']",2.0,Starz,60.0,"['21', 'octobre', '2011']",octobre,2011
129,Body of Proof,5.4,Série de   Christopher Murphey,"['policier', 'drame']",3.0,ABC (US),45.0,"['29', 'mars', '2011']",mars,2011
130,Le Monde Incroyable de Gumball,7.6,Dessin animé de   Benjamin Bocquelet,"['animation', 'jeunesse', 'comédie']",5.0,Cartoon Network,10.0,"['3', 'mai', '2011']",mai,2011
131,Death Valley,6.8,Série de   Curtis Gwinn,"['comédie', 'épouvante-horreur']",1.0,MTV (US),25.0,"['29', 'août', '2011']",août,2011
132,Revenge,5.9,Série de   Mike Kelley,"['drame', 'thriller']",4.0,ABC (US),45.0,"['11', 'septembre', '2011']",septembre,2011
133,Anohana,7.6,"Anime de   Chouheiwa Busters,   Masayoshi Tanaka et   Tatsuyuki Nagai","['comédie', 'romance', 'animation']",1.0,Fuji TV,20.0,"['15', 'avril', '2011']",avril,2011
134,Top Boy,7.8,Série de   Ronan Bennett,['drame'],3.0,Channel 4,50.0,"['31', 'octobre', '2011']",octobre,2011
135,La Gifle,7.3,Série de   Christos Tsiolkas,"['mini-série', 'drame']",1.0,ABC (AU),60.0,"['6', 'octobre', '2011']",octobre,2011
136,Borgia,6.5,Série de   Tom Fontana,"['drame', 'historique']",3.0,Sky Atlantic (IT),50.0,"['10', 'octobre', '2011']",octobre,2011
137,Fate/zero,7.6,"Anime de   Aoki Ei,   Gen Urobuchi et   Takeuchi Takashi","['animation', 'drame', 'fantastique']",1.0,Tokyo MX,25.0,"['2', 'octobre', '2011']",octobre,2011
138,Awkward,5.8,Série de   Lauren Iungerich,"['comédie', 'dramatique']",5.0,MTV (US),25.0,"['19', 'juillet', '2011']",juillet,2011
139,Suburgatory,6.2,Série de   Emily Kapnek,['comédie'],3.0,ABC (US),25.0,"['28', 'septembre', '2011']",septembre,2011
140,The Shadow Line,7.6,Série de   Hugo Blick,"['mini-série', 'policier', 'drame']",1.0,BBC Two,60.0,"['5', 'mai', '2011']",mai,2011
141,Meurtres au paradis,6.3,Série de   Robert Thorogood,"['comédie', 'policier', 'aventure']",10.0,BBC One,60.0,"['25', 'octobre', '2011']",octobre,2011
142,Hart of Dixie,5.8,Série de   Leila Gerstein,"['comédie', 'dramatique', 'romance']",4.0,The CW,45.0,"['26', 'septembre', '2011']",septembre,2011
143,De grandes espérances,6.7,Série de   Sarah Phelps et   Charles Dickens,"['romance', 'mini-série', 'drame']",1.0,BBC One,60.0,"['27', 'décembre', '2011']",décembre,2011
144,Mawaru Penguindrum,7.9,"Anime de   Kunihiko Ikuhara,   Shōko Nakamura et   Lily Hoshino","['fantastique', 'romance', 'animation']",1.0,MBS,25.0,"['3', 'juillet', '2011']",juillet,2011
145,Luck,6.7,Série de   David Milch,['drame'],1.0,HBO,60.0,"['11', 'décembre', '2011']",décembre,2011
146,J'irai dormir en Amérique,7.8,Série de   Antoine de Maximy,['documentaire'],1.0,France 5,26.0,"['19', 'décembre', '2011']",décembre,2011
147,Soda,3.2,"Série de   Franck Bellocq,   David Soussan,   Kev Adams...","['comédie', 'comédie']",3.0,W9,3.0,"['4', 'juillet', '2011']",juillet,2011
148,Mad Dogs,6.8,Série de   Cris Cole,"['comédie', 'policier', 'drame']",4.0,Sky1,45.0,"['10', 'février', '2011']",février,2011
149,Grand Hôtel,7.3,Série de   Ramón Campos,"['policier', 'drame']",3.0,Antena 3,75.0,"['4', 'octobre', '2011']",octobre,2011
150,Game Theory,6.9,Émission Web de   Matthew Patrick,"['comédie', 'documentaire']",Inconnu,YouTube,15.0,"['18', 'avril', '2011']",avril,2011
151,Enlightened : illuminée,6.7,Série de   Mike White et   Laura Dern,"['comédie', 'dramatique']",2.0,HBO,30.0,"['10', 'octobre', '2011']",octobre,2011
152,Sacred Seven,5.4,Anime de   Hajime Yatate,"['animation', 'science-fiction']",1.0,MBS,25.0,"['3', 'juillet', '2011']",juillet,2011
153,Deadman Wonderland,6.3,Anime de   Koichi Hatsumi,"['science-fiction', 'action', 'animation']",1.0,tvk,25.0,"['17', 'avril', '2011']",avril,2011
154,Le Petit journal,6.0,Émission TV de   Yann Barthès,['comédie'],12.0,Canal+,18.0,"['29', 'août', '2011']",août,2011
155,Bob's Burgers,6.9,Série de   Loren Bouchard,"['animation', 'comédie']",11.0,FOX (US),25.0,"['9', 'janvier', '2011']",janvier,2011
156,Planète Dinosaures,7.9,Série de   Nigel Paterson,['documentaire'],1.0,BBC One,49.0,"['14', 'septembre', '2011']",septembre,2011
157,City Hunter,7.3,Drama de   Jin Hyeok,"['thriller', 'drame', 'action']",1.0,SBS (KR),65.0,"['25', 'mai', '2011']",mai,2011
